depto	hogar	orden	zona	puntaje_sisben_3	llave	CORTE	FEX	PER001	PER002B	PER003	PER004	PER005	PER006	PER007	PER008	PER009	PER010	PER011	PER012	PER013A	PER014A	PER015	PER016
81	1	4	1	15.94	0045	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	1	21.48	0046	DIC2016	138.86637931	2	3	1	2	0	0	2	2	3	1	2	0	2	1	0	1
81	1	2	1	21.48	0046	DIC2016	138.86637931	2	2	3	2	0	0	2	2	3	2	1	4	2	3	0	2
81	1	3	1	21.48	0046	DIC2016	138.86637931	2	2	12	2	0	0	2	2	0	1	2	0	2	4	0	2
81	1	4	1	21.48	0046	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	5	1	21.48	0046	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	6	1	21.48	0046	DIC2016	138.86637931	2	3	12	1	7	8	2	2	0	1	2	0	2	1	0	1
81	1	7	1	21.48	0046	DIC2016	138.86637931	1	3	14	1	6	8	2	2	0	2	2	0	2	2	12	2
81	1	8	1	21.48	0046	DIC2016	138.86637931	2	1	13	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	1	24.2	0047	DIC2016	138.86637931	2	3	1	1	2	0	2	2	0	1	2	0	2	4	0	2
81	1	2	1	24.2	0047	DIC2016	138.86637931	1	3	2	1	1	0	2	2	0	2	2	0	1	1	0	1
81	1	3	1	24.2	0047	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	1	4	1	3	0	2
81	1	4	1	24.2	0047	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	1	4	1	3	0	2
81	1	5	1	24.2	0047	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	1	4	1	3	0	2
81	1	1	1	31.62	0048	DIC2016	138.86637931	2	3	1	1	2	0	2	2	1	1	2	0	2	1	0	1
81	1	2	1	31.62	0048	DIC2016	138.86637931	1	3	2	1	1	0	2	2	1	2	2	0	2	2	10	2
81	1	3	1	31.62	0048	DIC2016	138.86637931	1	1	3	2	0	0	2	2	1	2	2	0	1	0	0	2
81	1	1	1	12.57	0049	DIC2016	138.86637931	2	3	1	2	0	0	2	2	1	1	2	0	2	4	0	2
81	1	2	1	12.57	0049	DIC2016	138.86637931	2	1	3	2	0	0	2	2	2	2	2	0	2	4	0	2
81	2	1	1	5.99	0049	DIC2016	138.86637931	2	2	1	2	0	0	2	2	2	1	2	0	2	4	0	1
81	2	2	1	5.99	0049	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	2	0	1	0	0	1
81	1	1	2	23.58	0050	DIC2016	138.86637931	1	3	1	1	0	0	2	2	0	2	2	0	1	1	0	1
81	1	1	1	40.06	0051	DIC2016	138.86637931	2	4	1	2	0	0	2	2	4	1	1	4	2	1	0	1
81	1	1	2	10.31	0052	DIC2016	138.86637931	2	4	1	1	2	0	2	2	0	1	2	0	1	0	0	2
81	1	2	2	10.31	0052	DIC2016	138.86637931	1	4	2	1	1	0	2	2	0	2	2	0	1	0	0	2
81	1	3	2	10.31	0052	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	4	2	10.31	0052	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	1	1	45.93	0053	DIC2016	138.86637931	2	4	1	2	0	0	2	2	0	1	2	0	2	1	0	1
81	1	2	1	45.93	0053	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	1	4	1	3	0	2
81	1	3	1	45.93	0053	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	2	10.54	0054	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	1	4	0	2
81	1	2	2	10.54	0054	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	2	1	0	1
81	1	4	2	10.54	0054	DIC2016	138.86637931	1	3	3	2	0	0	2	2	4	2	2	0	2	1	0	1
81	1	5	2	10.54	0054	DIC2016	138.86637931	2	1	4	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	6	2	10.54	0054	DIC2016	138.86637931	2	1	4	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	7	2	10.54	0054	DIC2016	138.86637931	1	4	5	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	1	23.17	0055	DIC2016	138.86637931	2	4	1	2	0	0	2	2	4	1	2	0	1	1	0	1
81	1	2	1	23.17	0055	DIC2016	138.86637931	2	3	3	2	0	0	2	2	4	2	2	0	2	0	0	2
81	1	3	1	23.17	0055	DIC2016	138.86637931	1	3	12	2	0	0	2	2	4	2	2	0	1	1	0	1
81	1	1	1	57.58	0056	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	1	4	0	2
81	1	2	1	57.58	0056	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	2	1	0	1
81	1	3	1	57.58	0056	DIC2016	138.86637931	1	3	3	2	0	0	2	2	0	2	2	0	2	1	0	1
81	1	4	1	57.58	0056	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	1	39.69	0057	DIC2016	138.86637931	2	4	1	2	0	0	2	2	3	1	2	0	1	1	0	1
81	2	1	1	45.12	0057	DIC2016	138.86637931	1	4	1	2	0	0	2	2	0	2	2	0	2	1	0	1
81	1	1	1	32.32	0058	DIC2016	138.86637931	1	3	1	1	2	0	2	2	4	2	2	0	1	1	0	1
81	1	2	1	32.32	0058	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	1	4	0	2
81	1	3	1	32.32	0058	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	4	1	32.32	0058	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	5	1	32.32	0058	DIC2016	138.86637931	1	3	14	2	0	0	2	2	0	2	2	0	2	2	4	2
81	1	6	1	32.32	0058	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	1	4	1	3	0	2
81	1	1	1	36.49	0059	DIC2016	138.86637931	1	3	1	2	0	0	2	2	4	2	2	0	1	2	4	2
81	1	1	1	15.02	0060	DIC2016	138.86637931	2	3	1	2	0	0	2	2	2	1	2	0	2	1	0	1
81	1	2	1	15.02	0060	DIC2016	138.86637931	2	1	3	2	0	0	2	2	2	2	2	0	1	0	0	2
81	1	3	1	15.02	0060	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	4	1	15.02	0060	DIC2016	138.86637931	1	1	3	2	0	0	2	2	2	2	2	0	1	0	0	2
81	1	1	2	55.34	0061	DIC2016	138.86637931	1	3	1	1	2	0	2	2	4	2	2	0	2	1	0	1
81	1	2	2	55.34	0061	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	2	4	0	2
81	1	3	2	55.34	0061	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	4	2	55.34	0061	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	2	1	3	0	2
81	1	5	2	55.34	0061	DIC2016	138.86637931	2	3	6	2	0	0	2	2	4	2	2	0	1	4	0	2
81	1	1	1	33.95	0062	DIC2016	138.86637931	1	3	1	1	2	0	2	2	3	2	1	4	2	1	0	1
81	1	2	1	33.95	0062	DIC2016	138.86637931	2	3	2	1	1	0	2	2	3	1	2	0	2	1	0	1
81	1	3	1	33.95	0062	DIC2016	138.86637931	1	1	3	2	0	0	2	2	3	2	2	0	1	0	0	2
81	1	4	1	33.95	0062	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	2	19.55	0063	DIC2016	138.86637931	1	4	1	1	2	0	2	2	4	2	2	0	1	1	0	1
81	1	2	2	19.55	0063	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	1	4	0	1
81	1	3	2	19.55	0063	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	4	2	19.55	0063	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	5	2	19.55	0063	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	6	2	19.55	0063	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	1	55	0064	DIC2016	138.86637931	1	4	1	1	2	0	2	2	2	2	2	0	1	1	0	1
81	1	2	1	55	0064	DIC2016	138.86637931	2	4	2	1	1	0	2	2	2	1	2	0	2	4	0	2
81	1	1	1	10.06	0065	DIC2016	138.86637931	2	4	1	2	0	0	2	2	0	1	2	0	1	1	0	1
81	1	2	1	10.06	0065	DIC2016	138.86637931	2	1	4	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	3	1	10.06	0065	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	4	1	10.06	0065	DIC2016	138.86637931	1	1	4	2	0	3	2	2	0	2	2	0	1	0	0	2
81	1	1	2	17.58	0066	DIC2016	138.86637931	1	3	1	2	0	0	2	2	1	2	2	0	2	2	4	2
81	1	2	2	17.58	0066	DIC2016	138.86637931	1	3	6	1	0	0	2	2	0	2	2	0	2	1	0	1
81	1	3	2	17.58	0066	DIC2016	138.86637931	2	4	5	1	0	0	2	2	0	1	2	0	1	4	0	2
81	1	4	2	17.58	0066	DIC2016	138.86637931	1	4	5	1	0	0	2	2	4	2	2	0	1	0	0	2
81	1	5	2	17.58	0066	DIC2016	138.86637931	2	3	6	2	0	0	2	2	0	2	2	0	2	0	0	2
81	1	1	1	30.28	0067	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	2	4	0	2
81	1	2	1	30.28	0067	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	1	1	0	1
81	1	3	1	30.28	0067	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	4	1	30.28	0067	DIC2016	138.86637931	2	4	9	2	0	0	2	2	4	2	2	0	1	0	0	2
